Loại hàng;Nhóm hàng(3 Cấp);Mã hàng;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;Hình ảnh (url1,url2...);Thời gian tạo
Hàng hóa;phụ kiện;SP000140;vnsky 5g;hoco;400.000,00;100.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/09/04/maxpromobile/9448c7def2ff4fecbe0f4c580b9b858c.jpeg;04/09/2026 18:12
Hàng hóa;phụ kiện;SP000139;bao da gấp - ốp;hoco;300.000,00;100.000,00;13;https://cdn2-retail-images.kiotviet.vn/2026/09/04/maxpromobile/8e9ec7bccc6b4e728b79ba93369059a2.jpeg;04/09/2026 9:18
Hàng hóa;cáp sạc;SP000138;60w anker c-c;Anker;300.000,00;100.000,00;5;https://cdn2-retail-images.kiotviet.vn/2026/08/31/maxpromobile/e9b3ebe062a141b58f6779371dcb773e.jpeg;31/08/2026 16:28
Hàng hóa;phụ kiện;SP000137;Sim Vietnamobile;;200.000,00;0;14;https://cdn2-retail-images.kiotviet.vn/2026/08/29/maxpromobile/21e6d4f9454e4ca69c6cc3fedf8a538e.jpeg;29/08/2026 21:49
Hàng hóa;phụ kiện;SP000136;Sim Local 8GB;;500.000,00;0;8;https://cdn2-retail-images.kiotviet.vn/2026/08/29/maxpromobile/249734f98df44df69ce784103df43bfb.jpeg;29/08/2026 21:46
Hàng hóa;phụ kiện;SP000135;Sim Local 5GB;;400.000,00;0;7;https://cdn2-retail-images.kiotviet.vn/2026/08/29/maxpromobile/4de55db690cd4303b4e4490518db4b45.jpeg;29/08/2026 21:45
Hàng hóa;phụ kiện;SP000134;Sim Mobiphone 1000GB;;400.000,00;0;5;https://cdn2-retail-images.kiotviet.vn/2026/08/29/maxpromobile/d0cd5fe846a347d895b40fdcfd2dfd79.jpeg;29/08/2026 21:43
Hàng hóa;cáp sạc;SP000133;Cáp dù c-c;apple;200.000,00;0;30;https://cdn2-retail-images.kiotviet.vn/2026/08/29/maxpromobile/c1f3debae95b4a42be1eff8c5896f958.jpeg;29/08/2026 21:39
Hàng hóa;phụ kiện;SP000132;bàn phím baseus k01a;hoco;600.000,00;150.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/08/18/maxpromobile/91f2b5210bed4734bcc81c42a90ed605.jpeg;18/08/2026 9:36
Hàng hóa;cáp sạc;SP000131;dây 3 đầu rút baseus;hoco;550.000,00;150.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/08/18/maxpromobile/f0d264e3497b49e482fcfc426d1701b6.jpeg;18/08/2026 9:35
Hàng hóa;cáp sạc;SP000130;dây 3 đầu c baseus;hoco;550.000,00;100.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/08/18/maxpromobile/2fb0596387b7491db8e48331fd579c90.jpeg;18/08/2026 9:33
